symbol,source_document,source_page,source_section,source_evidence,expected_event_type,event_ledger_status,proof_of_missing_event
MRPL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
MSUMI,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NAUKRI,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NAVINFLUOR,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NCC,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NH,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NHPC,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NIACL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NLCINDIA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NSLNISP,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
NYKAA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PAGEIND,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PEL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PETRONET,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PFC,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PFOCUS,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PGHL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PIIND,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PNB,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PNBHOUSING,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
POLYCAB,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PRINCEPIPE,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
PRSMJOHNSN,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RAINBOW,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RAJESHEXPO,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RECLTD,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RESPONIND,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RITES,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
RKFORGE,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
ROSSARI,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
ROUTE,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SAFARI,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SANOFI,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SAREGAMA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SBICARD,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SHARDACROP,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SHREECEM,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SHRIRAMFIN,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SHYAMMETL,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SIEMENS,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SJVN,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SOBHA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SOLARINDS,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SONACOMS,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SONATSOFTW,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SPANDANA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SRF,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SRTRANSFIN,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SUNCLAYLTD,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SUPREMEIND,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SUVENPHAR,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SWANENERGY,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
SWSOLAR,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
TANLA,ind_prs_archive_2018_2021.pdf,N/A,Nifty 500,PDF published exclusion list but omitted addition table,ADDITION,UNPROVEN,Addition unproven from PDF alone without official snapshot file
