symbol,conflict_reason,recovered_status,official_source_document,evidence_details,classification
BANKINDIA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BATAINDIA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BCG,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BDL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BEL,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BHARTIARTL,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BHEL,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BIOCON,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BOSCHLTD,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BPCL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BRITANNIA,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
BSE LTD.*,"Last event was ADDITION on March 28, 2024, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CAPLIPOINT,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CDSL,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CGCL,"Last event was DELETION on April 12, 2022, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CGPOWER,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CHENNPETRO,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CLEAN,"Last event was DELETION on September 30, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
COALINDIA,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
COCHINSHIP,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CONCOR,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CONCORDBIO,"Last event was DELETION on October 26, 2023, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CUMMINSIND,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
CYIENT,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
DIXON,"Last event was DELETION on February 28, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
EIDPARRY,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ELECON,"Last event was DELETION on July 31, 2026, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ERIS,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ESCORTS,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
EXIDEIND,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
FACT,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
FEDERALBNK,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GESHIP,"Last event was DELETION on June 30, 2022, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GET&D,"Last event was ADDITION on September 30, 2024, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GICRE,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GLAND,"Last event was DELETION on June 30, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GLAXO,"Last event was DELETION on July 31, 2023, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GLS,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GMDCLTD,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GODREJCP,"Last event was DELETION on July 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GRAPHITE,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GRASIM,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
GSPL,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HAL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HAPPSTMNDS,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HEMIPROP,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HINDPETRO,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HINDZINC,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HONASA,"Last event was DELETION on October 31, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
HONAUT,"Last event was DELETION on May 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ICIL,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IDEA,"Last event was DELETION on September 30, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IDFC,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IGIL,"Last event was DELETION on July 31, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IIFL,"Last event was DELETION on April 26, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
INDIACEM,"Last event was DELETION on August 29, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
INDIAMART,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
"INDIAN RENEWABLE ENERGY DEV.
AGENCY LTD.","Last event was ADDITION on March 28, 2024, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
INGERRAND,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IOC,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IRB,"Last event was DELETION on June 30, 2022, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IRCTC,"Last event was DELETION on October 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
IRFC,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
ITI,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
J&KBANK,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
JSWCEMENT,"Last event was DELETION on December 31, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
JUBLFOOD,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
JWL,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KARURVYSYA,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KIMS,"Last event was DELETION on September 30, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KIRLFER,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KOTAKBANK,"Last event was DELETION on January 1, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KPIL,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
KSB,"Last event was ADDITION on , but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,INITIAL_CONSTITUENT_EXIT
LALPATHLAB,"Last event was DELETION on July 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MANKIND,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MAPMYINDIA,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MAXINDIA,"Last event was ADDITION on March 31, 2017, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MFL,"Last event was ADDITION on March 31, 2023, but currently_present=False",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MFSL,"Last event was DELETION on September 29, 2017, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MGL,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MINDACORP,"Last event was DELETION on September 30, 2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MMTC,"Last event was DELETION on October 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MOTHERSON,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MRF,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MRPL,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
MSUMI,"Last event was DELETION on June 30,
2025, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NAUKRI,"Last event was DELETION on , but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NAVINFLUOR,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NCC,"Last event was DELETION on December 31, 2021, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NH,"Last event was DELETION on October 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NHPC,"Last event was DELETION on December 31, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
NIACL,"Last event was DELETION on June 28, 2024, but currently_present=True",NOT_PROVEN_FROM_PDF_ARCHIVE,N/A,PDF press release archive published exclusion list but omitted addition table; official addition unproven without snapshot CSV,UNPROVEN_MISSING_ADDITION
