symbol,anomaly_type,first_event_id,first_date,second_event_id,second_date,description
AKZOINDIA,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00855,"September 30, 2025",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on September 30, 2025"
ALIVUS,CONSECUTIVE_ADDITION,PEVT_00470,"March 28, 2025",PEVT_00745,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
ALIVUS,CONSECUTIVE_DELETION,PEVT_00523,"September 30, 2025",PEVT_00835,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
ALKYLAMINE,CONSECUTIVE_DELETION,PEVT_00428,"March 30, 2026",PEVT_00938,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
ALLCARGO,CONSECUTIVE_ADDITION,PEVT_01156,"March
31, 2022",PEVT_00629,"September 29, 2023",Consecutive ADDITION events without intervening opposite transition
ALLCARGO,CONSECUTIVE_DELETION,PEVT_01028,"September 30, 2024",PEVT_01082,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
ALLCARGO,CONSECUTIVE_DELETION,PEVT_01082,"September 30, 2024",PEVT_00084,,Consecutive DELETION events without intervening opposite transition
ALLCARGO,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00510,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
AMBER,CONSECUTIVE_ADDITION,PEVT_00335,"January 1, 2021",PEVT_00385,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
ANANDRATHI,CONSECUTIVE_ADDITION,PEVT_01269,"March 28, 2024",PEVT_00130,"June 28, 2024",Consecutive ADDITION events without intervening opposite transition
ANANTRAJ,CONSECUTIVE_ADDITION,PEVT_01056,"September 30, 2024",PEVT_01108,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
ANANTRAJ,CONSECUTIVE_ADDITION,PEVT_01108,"September 30, 2024",PEVT_00386,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
ANGELBRKG,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00912,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
ANURAS,CONSECUTIVE_DELETION,PEVT_01029,"September 30, 2024",PEVT_01083,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
APARINDS,CONSECUTIVE_ADDITION,PEVT_00062,,PEVT_00186,,Consecutive ADDITION events without intervening opposite transition
APLLTD,CONSECUTIVE_DELETION,PEVT_00427,"March 30, 2026",PEVT_00937,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
APOLLOHOSP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00524,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
ASHOKLEY,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00308,"January 1, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on January 1, 2021"
ASTRAZEN,CONSECUTIVE_DELETION,PEVT_00429,"March 30, 2026",PEVT_00940,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
ASTRAZEN,CONSECUTIVE_DELETION,PEVT_00940,"March 30, 2026",PEVT_00055,,Consecutive DELETION events without intervening opposite transition
ATGL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00603,"July 31, 2026",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2026"
AUROPHARMA,CONSECUTIVE_DELETION,PEVT_00097,"June 28, 2024",PEVT_00160,,Consecutive DELETION events without intervening opposite transition
AVANTIFEED,CONSECUTIVE_DELETION,PEVT_00452,"March 28, 2025",PEVT_00714,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
AWL,CONSECUTIVE_DELETION,PEVT_01192,"July 31, 2023",PEVT_00198,,Consecutive DELETION events without intervening opposite transition
AWL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00198,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
AXISBANK,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00204,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BAJAJ-AUTO,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00349,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
BALAMINES,CONSECUTIVE_DELETION,PEVT_00453,"March 28, 2025",PEVT_00715,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
BALAMINES,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00914,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
BALKRISIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01193,"July 31, 2023",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2023"
BALRAMCHIN,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00235,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
BANKBARODA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00173,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BANKINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00174,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BASF,CONSECUTIVE_ADDITION,PEVT_01057,"September 30, 2024",PEVT_01109,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
BASF,CONSECUTIVE_DELETION,PEVT_00430,"March 30, 2026",PEVT_00941,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
BASF,CONSECUTIVE_DELETION,PEVT_00941,"March 30, 2026",PEVT_00497,,Consecutive DELETION events without intervening opposite transition
BATAINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00202,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BCG,CONSECUTIVE_DELETION,PEVT_01235,"March 28, 2024",PEVT_01187,"April 26, 2024",Consecutive DELETION events without intervening opposite transition
BCG,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00268,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
BDL,CONSECUTIVE_DELETION,PEVT_00350,"December 31, 2024",PEVT_00002,,Consecutive DELETION events without intervening opposite transition
BDL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00002,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BEL,CONSECUTIVE_DELETION,PEVT_01084,"September 30, 2024",PEVT_00351,"December 31, 2024",Consecutive DELETION events without intervening opposite transition
BEL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00351,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
BEML,CONSECUTIVE_DELETION,PEVT_00051,"April 12, 2022",PEVT_00284,"October 31, 2024",Consecutive DELETION events without intervening opposite transition
BHARATRAS,CONSECUTIVE_DELETION,PEVT_00564,"March 31, 2023",PEVT_00056,,Consecutive DELETION events without intervening opposite transition
BHARTIARTL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00330,"January 1, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on January 1, 2021"
BHEL,CONSECUTIVE_DELETION,PEVT_00206,"December 31, 2021",PEVT_00352,"December 31, 2024",Consecutive DELETION events without intervening opposite transition
BHEL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00352,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
BIKAJI,CONSECUTIVE_ADDITION,PEVT_00585,"March 31, 2023",PEVT_00063,,Consecutive ADDITION events without intervening opposite transition
BIOCON,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00784,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
BIRLACORPN,CONSECUTIVE_DELETION,PEVT_00785,"May 31, 2024",PEVT_00716,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
BLUEJET,CONSECUTIVE_ADDITION,PEVT_00540,"September 30, 2025",PEVT_00857,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
BORORENEW,CONSECUTIVE_ADDITION,PEVT_01158,"March
31, 2022",PEVT_01006,"August 30, 2022",Consecutive ADDITION events without intervening opposite transition
BORORENEW,CONSECUTIVE_DELETION,PEVT_01030,"September 30, 2024",PEVT_00499,,Consecutive DELETION events without intervening opposite transition
BOSCHLTD,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00203,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BPCL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00498,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BRITANNIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00175,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
BSE,CONSECUTIVE_ADDITION,PEVT_00242,"December 31, 2021",PEVT_00189,,Consecutive ADDITION events without intervening opposite transition
BSE LTD.*,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00682,"March 28, 2024",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on March 28, 2024"
CAMPUS,CONSECUTIVE_DELETION,PEVT_00431,"March 30, 2026",PEVT_00942,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
CAPLIPOINT,CONSECUTIVE_ADDITION,PEVT_01271,"March 28, 2024",PEVT_00811,"May 31, 2024",Consecutive ADDITION events without intervening opposite transition
CAPLIPOINT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00694,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
CARERATING,CONSECUTIVE_DELETION,PEVT_00309,"January 1, 2021",PEVT_00889,,Consecutive DELETION events without intervening opposite transition
CDSL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00100,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
CELLO,CONSECUTIVE_DELETION,PEVT_00454,"March 28, 2025",PEVT_00717,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
CEMPRO,CONSECUTIVE_ADDITION,PEVT_00444,"March 30, 2026",PEVT_00976,"March 30, 2026",Consecutive ADDITION events without intervening opposite transition
CENTURYPLY,CONSECUTIVE_DELETION,PEVT_00651,"October 31, 2025",PEVT_00943,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
CERA,CONSECUTIVE_DELETION,PEVT_01199,"July 31, 2024",PEVT_00944,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
CGCL,CONSECUTIVE_DELETION,PEVT_01127,"March
31, 2022",PEVT_00052,"April 12, 2022",Consecutive DELETION events without intervening opposite transition
CGCL,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00052,"April 12, 2022",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on April 12, 2022"
CGPOWER,CONSECUTIVE_DELETION,PEVT_00673,"December 26, 2019",PEVT_00555,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
CGPOWER,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00555,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
CHEMPLASTS,CONSECUTIVE_ADDITION,PEVT_01161,"March
31, 2022",PEVT_01216,"August 08, 2022",Consecutive ADDITION events without intervening opposite transition
CHENNPETRO,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00890,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
CIEINDIA,CONSECUTIVE_DELETION,PEVT_00455,"March 28, 2025",PEVT_00719,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
CIEINDIA,CONSECUTIVE_DELETION,PEVT_00719,"March 28, 2025",PEVT_00044,"May 12, 2026",Consecutive DELETION events without intervening opposite transition
CLEAN,CONSECUTIVE_ADDITION,PEVT_01162,"March
31, 2022",PEVT_01007,"August 30, 2022",Consecutive ADDITION events without intervening opposite transition
CLEAN,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01085,"September 30, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2024"
COALINDIA,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00525,"September 30, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on September 30, 2025"
COCHINSHIP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00353,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
COFORGE,CONSECUTIVE_ADDITION,PEVT_00831,"May 31, 2024",PEVT_00389,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
CONCOR,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00787,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
CONCORDBIO,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00650,"October 26, 2023",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on October 26, 2023"
CPPLUS,CONSECUTIVE_ADDITION,PEVT_00443,"March 30, 2026",PEVT_00968,"March 30, 2026",Consecutive ADDITION events without intervening opposite transition
CUMMINSIND,CONSECUTIVE_DELETION,PEVT_01122,"September 30, 2024",PEVT_00354,"December 31, 2024",Consecutive DELETION events without intervening opposite transition
CUMMINSIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00354,"December 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2024"
CYIENT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00101,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
DCBBANK,CONSECUTIVE_DELETION,PEVT_00208,"December 31, 2021",PEVT_01128,"March
31, 2022",Consecutive DELETION events without intervening opposite transition
DCMSHRIRAM,CONSECUTIVE_DELETION,PEVT_00310,"January 1, 2021",PEVT_01032,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
DEEPAKFERT,CONSECUTIVE_ADDITION,PEVT_00024,"September 30, 2022",PEVT_00391,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
DEEPAKFERT,CONSECUTIVE_ADDITION,PEVT_00391,"December 31, 2024",PEVT_00166,,Consecutive ADDITION events without intervening opposite transition
DIVISLAB,CONSECUTIVE_DELETION,PEVT_00236,"December 31, 2021",PEVT_00788,"May 31, 2024",Consecutive DELETION events without intervening opposite transition
DIXON,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00670,"February 28, 2025",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on February 28, 2025"
EIDPARRY,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00262,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
ELECON,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00604,"July 31, 2026",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2026"
ENGINERSIN,CONSECUTIVE_DELETION,PEVT_00209,"December 31, 2021",PEVT_01086,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
ENRIN,CONSECUTIVE_ADDITION,PEVT_00869,"September 30, 2025",PEVT_00691,"February 27, 2026",Consecutive ADDITION events without intervening opposite transition
EPL,CONSECUTIVE_DELETION,PEVT_01033,"September 30, 2024",PEVT_01087,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
EQUITAS,CONSECUTIVE_DELETION,PEVT_00485,"June 30, 2022",PEVT_00559,,Consecutive DELETION events without intervening opposite transition
EQUITASBNK,CONSECUTIVE_DELETION,PEVT_00721,"March 28, 2025",PEVT_00176,,Consecutive DELETION events without intervening opposite transition
ERIS,CONSECUTIVE_DELETION,PEVT_00054,"April 02, 2018",PEVT_00004,"September 30, 2022",Consecutive DELETION events without intervening opposite transition
ERIS,CONSECUTIVE_DELETION,PEVT_00004,"September 30, 2022",PEVT_00286,"October 31, 2024",Consecutive DELETION events without intervening opposite transition
ERIS,CONSECUTIVE_DELETION,PEVT_00286,"October 31, 2024",PEVT_00685,,Consecutive DELETION events without intervening opposite transition
ERIS,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00685,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
ESCORTS,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00250,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
EXIDEIND,CONSECUTIVE_DELETION,PEVT_00355,"December 31, 2024",PEVT_00161,,Consecutive DELETION events without intervening opposite transition
EXIDEIND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00161,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
FACT,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00103,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
FDC,CONSECUTIVE_DELETION,PEVT_01034,"September 30, 2024",PEVT_01088,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
FEDERALBNK,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00177,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
FINEORG,CONSECUTIVE_DELETION,PEVT_00456,"March 28, 2025",PEVT_00722,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
FINPIPE,CONSECUTIVE_DELETION,PEVT_00526,"September 30, 2025",PEVT_00946,"March 30, 2026",Consecutive DELETION events without intervening opposite transition
FINPIPE,CONSECUTIVE_DELETION,PEVT_00946,"March 30, 2026",PEVT_00500,,Consecutive DELETION events without intervening opposite transition
FIRSTCRY,CONSECUTIVE_ADDITION,PEVT_00471,"March 28, 2025",PEVT_00748,"March 28, 2025",Consecutive ADDITION events without intervening opposite transition
FORCEMOT,CONSECUTIVE_ADDITION,PEVT_00542,"September 30, 2025",PEVT_00860,"September 30, 2025",Consecutive ADDITION events without intervening opposite transition
FORTIS,CONSECUTIVE_ADDITION,PEVT_00815,"May 31, 2024",PEVT_00394,"December 31, 2024",Consecutive ADDITION events without intervening opposite transition
FRETAIL,CONSECUTIVE_ADDITION,PEVT_00093,"March 31, 2017",PEVT_00322,"January 1, 2021",Consecutive ADDITION events without intervening opposite transition
FRETAIL,CONSECUTIVE_DELETION,PEVT_00211,"December 31, 2021",PEVT_01130,"March
31, 2022",Consecutive DELETION events without intervening opposite transition
GABRIEL,CONSECUTIVE_ADDITION,PEVT_00445,"March 30, 2026",PEVT_00978,"March 30, 2026",Consecutive ADDITION events without intervening opposite transition
GAEL,CONSECUTIVE_DELETION,PEVT_00458,"March 28, 2025",PEVT_00725,"March 28, 2025",Consecutive DELETION events without intervening opposite transition
GALLANTT,CONSECUTIVE_ADDITION,PEVT_00446,"March 30, 2026",PEVT_00979,"March 30, 2026",Consecutive ADDITION events without intervening opposite transition
GAYAPROJ,CONSECUTIVE_DELETION,PEVT_00424,"March 27, 2020",PEVT_00998,"March 27, 2020",Consecutive DELETION events without intervening opposite transition
GESHIP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00486,"June 30, 2022",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30, 2022"
GET&D,CONSECUTIVE_ADDITION,PEVT_01060,"September 30, 2024",PEVT_01112,"September 30, 2024",Consecutive ADDITION events without intervening opposite transition
GET&D,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_01112,"September 30, 2024",N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on September 30, 2024"
GHCL,CONSECUTIVE_DELETION,PEVT_00312,"January 1, 2021",PEVT_00777,"April 29, 2021",Consecutive DELETION events without intervening opposite transition
GICRE,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00104,"June 28, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 28, 2024"
GILLETTE,CONSECUTIVE_ADDITION,PEVT_00631,"September 29, 2023",PEVT_00512,,Consecutive ADDITION events without intervening opposite transition
GLAND,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00484,"June 30, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on June 30, 2021"
GLAXO,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01194,"July 31, 2023",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2023"
GLS,CONSECUTIVE_DELETION,PEVT_01035,"September 30, 2024",PEVT_01089,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
GLS,ABSENT_BUT_LAST_EVENT_ADDITION,PEVT_00513,,N/A,N/A,"Stock is absent from current Nifty 500 anchor, but its last historical event was ADDITION on "
GMDCLTD,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00893,,N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on "
GMMPFAUDLR,CONSECUTIVE_DELETION,PEVT_01036,"September 30, 2024",PEVT_01090,"September 30, 2024",Consecutive DELETION events without intervening opposite transition
GMRINFRA,CONSECUTIVE_DELETION,PEVT_00050,"May 04, 2022",PEVT_00882,,Consecutive DELETION events without intervening opposite transition
GNFC,CONSECUTIVE_DELETION,PEVT_00487,"June 30, 2022",PEVT_00287,"October 31, 2024",Consecutive DELETION events without intervening opposite transition
GNFC,CONSECUTIVE_DELETION,PEVT_00287,"October 31, 2024",PEVT_00836,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
GNFC,CONSECUTIVE_DELETION,PEVT_00836,"September 30, 2025",PEVT_00199,,Consecutive DELETION events without intervening opposite transition
GODREJAGRO,CONSECUTIVE_DELETION,PEVT_01002,"August 30, 2022",PEVT_00613,"September 29, 2023",Consecutive DELETION events without intervening opposite transition
GODREJCP,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_01204,"July 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on July 31, 2024"
GPPL,CONSECUTIVE_DELETION,PEVT_01016,"August 31, 2023",PEVT_00837,"September 30, 2025",Consecutive DELETION events without intervening opposite transition
GRAPHITE,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00212,"December 31, 2021",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on December 31, 2021"
GRASIM,CONSECUTIVE_DELETION,PEVT_01229,"May 26, 2017",PEVT_00340,"January 1, 2021",Consecutive DELETION events without intervening opposite transition
GRASIM,CONSECUTIVE_DELETION,PEVT_00340,"January 1, 2021",PEVT_00789,"May 31, 2024",Consecutive DELETION events without intervening opposite transition
GRASIM,PRESENT_BUT_LAST_EVENT_DELETION,PEVT_00789,"May 31, 2024",N/A,N/A,"Stock is currently in Nifty 500 anchor, but its last historical event was DELETION on May 31, 2024"
