symbol,conflict_attribution,first_known_event,last_known_event,first_event_date,last_event_date,currently_present,confidence
SONACOMS,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"August 29, 2025",,True,HIGH
SONATSOFTW,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024",,True,HIGH
SPANDANA,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"March
31, 2022",,False,HIGH
SRF,PROVEN_MISSING_EVENT,ADDITION,DELETION,"May 31, 2024","September 30, 2025",True,MEDIUM
SRTRANSFIN,CORPORATE_ACTION,ADDITION,ADDITION,"June 30, 2022","June 30, 2022",False,MEDIUM
SUNCLAYLTD,CORPORATE_ACTION,ADDITION,ADDITION,,,False,MEDIUM
SUPREMEIND,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"June 28, 2024","June 28, 2024",True,HIGH
SUVENPHAR,CORPORATE_ACTION,ADDITION,ADDITION,"December 31, 2024","December 31, 2024",False,MEDIUM
SWANENERGY,CORPORATE_ACTION,ADDITION,ADDITION,"September 30, 2022","September 30, 2022",False,MEDIUM
SWSOLAR,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"July 31, 2023",,False,HIGH
TANLA,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"September 30, 2025",,False,HIGH
TATACOMM,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
TATACONSUM,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2021",True,HIGH
TATAELXSI,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"October 31, 2024","October 31, 2024",True,HIGH
TATAINVEST,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March
31, 2022","June 28, 2024",True,MEDIUM
TATAPOWER,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"December 31, 2021","December 31, 2024",True,HIGH
TATASTEEL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 08, 2022","May 31, 2024",True,MEDIUM
THERMAX,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 31, 2023","December 31, 2024",True,MEDIUM
TIINDIA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"May 31, 2024",,True,MEDIUM
TITAGARH,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2024","December 31, 2024",True,MEDIUM
TORNTPHARM,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 29, 2025","July 31, 2026",True,MEDIUM
TVSMOTOR,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"May 31, 2024","May 31, 2024",True,HIGH
VALIANTORG,PROVEN_INITIAL_CONSTITUENT,DELETION,ADDITION,"March
31, 2022",,False,HIGH
VBL,PROVEN_MISSING_EVENT,ADDITION,DELETION,"May 26, 2017","November 28, 2025",True,MEDIUM
VTL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,,,True,HIGH
WAAREEENER,PROVEN_MISSING_EVENT,ADDITION,DELETION,"March 28, 2025","October 31, 2025",True,MEDIUM
WELCORP,PROVEN_MISSING_EVENT,ADDITION,DELETION,"January 1, 2021","June 28, 2024",True,MEDIUM
WHIRLPOOL,PROVEN_INITIAL_CONSTITUENT,DELETION,DELETION,"January 1, 2021","January 1, 2021",True,HIGH
WIPRO,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 08, 2022","July 31, 2024",True,MEDIUM
ZENSARTECH,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 30, 2022","September 30, 2024",True,MEDIUM
ZFCVINDIA,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 30, 2022","September 30, 2025",True,MEDIUM
ZOMATO,CORPORATE_ACTION,ADDITION,ADDITION,"March
31, 2022",,False,MEDIUM
ZYDUSLIFE,PROVEN_MISSING_EVENT,ADDITION,DELETION,"August 30, 2022","December 31, 2024",True,MEDIUM
